university,abbreviation,department_name,course_title,unit_count,professor,objective,prerequisite,required_skills,outcome,references,scores,description,projects,university_homepage,course_homepage,professor_homepage
Alberta University,UAlberta, Modern Lang & Cultural Studies,				SPAN 321 - Foundational Fictions of Spanish America, 3,,, SPAN 300 or 306 or consent of Department. ,,,,, Readings from selected texts to continue language acquisition and to introduce students to aspects of Spanish American literature and culture. ,,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403150,
Alberta University,UAlberta, Modern Lang & Cultural Studies,				SPAN 323 - Latin American Literature and the Environment, 3,,, SPAN 300 or 306 or consent of Department. ,,,,, The study of the relationship of Latin American writing and writers to the environment with a focus on the landscape and current ecological concerns. ,,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403151,
Alberta University,UAlberta, Modern Lang & Cultural Studies,				SPAN 325 - Introduction to Cinema, 3,,, SPAN 300 or 306 or consent of Department. ,,,,, Some of the major works of film of Spain and/or Spanish America. ,,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403152,
Alberta University,UAlberta, Modern Lang & Cultural Studies,				SPAN 326 - Hispanic Children’s Literature, 3,,, SPAN 300 or 306 or consent of Department. ,,,,, Key works of children’s literature in Spain and Latin America. ,,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403153,
Alberta University,UAlberta, Modern Lang & Cultural Studies,				SPAN 332 - The Culture of Food, 3,,, SPAN 300 or 306 or consent of Department. ,,,,," Through an examination of texts about food (cookbooks, novels, films, music, journalism, etc.) students will gain an understanding of how food serves as a locus for concerns about nationalism, ethnicity, gender, and politics in Latin America. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403154,
Alberta University,UAlberta, Modern Lang & Cultural Studies,				SPAN 333 - Reading Popular Culture, 3,,, SPAN 300 or 306 or consent of Department. ,,,,," The course will look at questions of nation, class, race and gender in Hispanic popular cultural production. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403155,
Alberta University,UAlberta, Modern Lang & Cultural Studies,				SPAN 335 - The Spanish Caribbean, 3,,, SPAN 300 or 306 or consent of Department. ,,,,," Literature and culture in Cuba, Puerto Rico and the Dominican Republic. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403156,
Alberta University,UAlberta, Modern Lang & Cultural Studies,				SPAN 341 - The ‘Roaring Twenties’ in Transatlantic Perspective, 3,,, SPAN 300 or 306 or consent of Department. ,,,,, Cultural production of Spanish America and Spain in the 1920’s. ,,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403157,
Alberta University,UAlberta, Modern Lang & Cultural Studies,				SPAN 370 - The Sounds of Spanish, 3,,, SPAN 300 or 306 or consent of Department. ,,,,," Sound system of Spanish: phonetics, phonology, evolution of the language. Special attention to the pronunciation differences from English. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403159,
Alberta University,UAlberta, Modern Lang & Cultural Studies,				SPAN 373 - Spanish as a World Language, 3,,, SPAN 300 or 306 or consent of Department. Note: Not open to students with credit in SPAN 372. May be taken in place of SPAN 372 for program requirements. ,,,,, Focus on the evolution of Spanish from Latin and its spread around the world. Examines the different varieties of Spanish as well as practices and attitudes regarding the use of Spanish in different regions. ,,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403829,
Alberta University,UAlberta, Modern Lang & Cultural Studies,				SPAN 378 - Teaching Spanish as a Second Language, 3,,, SPAN 300 or 306 or consent of Department. Note: Not open to students with credit in SPAN 478. May be taken in place of SPAN 478 for program requirements. ,,,,," Approaches to language teaching, Spanish grammar pedagogy, and specific issues in teaching Spanish structures and skills. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=404472,
Alberta University,UAlberta, Modern Lang & Cultural Studies,				SPAN 398 - Special Topics in Language/Linguistics, 3,,, SPAN 300 or 306 or consent of Department. ,,,,, ,,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=404470,
Alberta University,UAlberta, Modern Lang & Cultural Studies,				SPAN 399 - Special Topics in Literature/Culture, 3,,, SPAN 300 or 306 or consent of Department. ,,,,, ,,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403160,
Alberta University,UAlberta, Modern Lang & Cultural Studies,				SPAN 405 - Exercises in Translation: Spanish into English, 3,,," *3 in SPAN at the 300 level excluding 300 and 306, or consent of the Department. Note: This course can also be applied to the MLCS Certificate in Translation Studies. ",,,,, ,,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403161,
Alberta University,UAlberta, Modern Lang & Cultural Studies,				SPAN 406 - Exercises in Translation: English into Spanish, 3,,," *3 in SPAN at the 300 level excluding 300 and 306, or consent of the Department. Note: This course can also be applied to the MLCS Certificate in Translation Studies. ",,,,, ,,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403162,
Alberta University,UAlberta, Modern Lang & Cultural Studies,				SPAN 407 - Advanced Grammar and Composition, 3,,," *3 in SPAN at the 300 level excluding 300 and 306, or consent of the Department. Note: This course can also be applied  to the MLCS Certificate in Translation Studies. ",,,,," Focus on meanings expressed by different grammatical structures in Spanish, with reference to translation differences with English. Practice of different styles of writing. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403163,
Alberta University,UAlberta, Modern Lang & Cultural Studies,				SPAN 425 - Hispanic Filmmakers, 3,,, SPAN 320 or consent of the Department. ,,,,, Study of one to three different Hispanic filmmakers. ,,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403164,
Alberta University,UAlberta, Modern Lang & Cultural Studies,				SPAN 426 - Creative Non-Fiction Workshop in Spanish, 3,,," *3 in SPAN at the 300-level excluding 300 and 306, or consent of Department. ",,,,," A writing workshop in Spanish. Students will gain exposure to evolving issues, standards, and research methodologies in professional writing. Genres may include literary journalism, memoir, travel writing, and personal essay. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403611,
Alberta University,UAlberta, Modern Lang & Cultural Studies,				SPAN 428 - Spanish Literary Masterpieces, 3,,, SPAN 320 or consent of the Department. ,,,,, An in-depth study of the most influential works of Span. ,,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403165,
Alberta University,UAlberta, Modern Lang & Cultural Studies,				SPAN 441 - Reading Colonial Culture, 3,,, SPAN 320 or consent of the Department. ,,,,," Colonial Identities, power and ideology, mobilized through various forms of representation. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403167,
Alberta University,UAlberta, Modern Lang & Cultural Studies,				SPAN 460 - Self Portraits in Writing, 3,,, SPAN 320 or consent of Department. ,,,,," Testimonial writing, biography, and autobiography, memories, correspondence, diaries, interviews and confessions. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403170,
Alberta University,UAlberta, Modern Lang & Cultural Studies,				SPAN 475 - Spanish in Society, 3,,," *3 in SPAN at the 300-level excluding 300 and 306, or consent of Department. ",,,,," Language as a social phenomenon. Description of dialects in Spanish. Language shift, bilingualism, language attrition, code-switching and language attitudes. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403171,
Alberta University,UAlberta, Modern Lang & Cultural Studies,				SPAN 476 - The Acquisition of Spanish, 3,,," *3 in SPAN at the 300-level excluding 300 and 306, or consent of Department. ",,,,," Issues relating to the acquisition of Spanish as a second language, education, and language policies, and language pedagogy in the literature and in practice. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403172,
Alberta University,UAlberta, Modern Lang & Cultural Studies,				SPAN 495 - Honors Thesis, 3,,,,,,,,,,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403173,
Alberta University,UAlberta, Modern Lang & Cultural Studies,				SPAN 498 - Special Topics in Language/Linguistics, 3,,, *3 in SPAN at the 300 level excluding 300 and 306 or consent of Department ,,,,, ,,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=404471,
